document,class_name,class_index,dataset_type
electromagnetic scatter part fully coherent scatter model,0,4,train
unsupervised conditional random field approach cluster gene expression,2,1,train
experiment hybrid model learn sequential decision making,9,8,train
differential dynamic logic hybrid system,5,2,train
stable distribution garch model option pricing,4,9,train
preliminary incomplete stock price fundamental real investment trust,4,9,train
carbon sequestration land support soil organic carbon accumulation distribution,0,4,train
prediction protein functional class functional domain composition,2,1,train
experiment hybrid model learn sequential decision making,9,8,train
knowledge extraction train neural network,3,3,train
mobile technology adoption public,9,8,train
effect crude oil particle separation efficiency,7,7,train
market efficiency behaviour stock price response announcement issue,4,9,train
mobile agent base system dynamic task allocation cluster embed smart,5,2,train
leverage coherent distribute space time code communication network training,8,6,train
theory trace conformal block,8,6,train
system scientific publishing company flexible nonlinear blind signal separation complex domain,3,3,train
probabilistic approach detection,3,3,train
logic base algorithm control,5,2,train
regularize estimation application disease classification microarray datum,2,1,train
confidence interval estimation task economic,4,9,train
hybrid method master equation,8,6,train
academic year title modelling fluidized bed gasification derive fuel derive fuel,7,7,train
engine engine concept,6,5,train
task infrared sensor system continuous methane,7,7,train
gene discovery human datum,2,1,train
critical approach study material culture paper present session annual theoretical,1,0,train
stock price reaction news news drift,4,9,train
trade market price emerge stock market,4,9,train
alignment efficient hybridization,2,1,train
dynamic monetary economy learning,4,9,train
cognitive neural study biologically inspire neural network control agent,3,3,train
optic pure optic,6,5,train
flux forest derive gradient,0,4,train
efficient learning variable resolution cognitive map autonomous indoor,3,3,train
proceeding international conference real time compute system application,5,2,train
rule analyse comparison,2,1,train
robot architecture integrated planning control,3,3,train
model dust emission variable phase,6,5,train
interface damage model simulation variable mode ratio composite material,6,5,train
evidence utility theory interval stochastic dominance,9,8,train
equalization sale tax regulation diesel fuel,7,7,train
risk share financial market endogenous trade,4,9,train
dynamic network interaction game,9,8,train
model query detection,9,8,train
shift traditional asian market,4,9,train
intrusion detection system press,3,3,train
chapter compiler optimization low power system,5,2,train
prediction transcription factor bind site variable order bayesian tree acid computer science,2,1,train
analysis series blackout cascade failure,5,2,train
information base framework asset pricing factor theory application,4,9,train
optimization entropy neural network,3,3,train
yield data analysis,0,4,train
physics foundation perspective edit,8,6,train
strategic investment supply chain apply gas market,7,7,train
cell model dynamic,2,1,train
sample base iteration finite time bound sample base iteration,3,3,train
database index large biological sequence,2,1,train
order reaction network,8,6,train
improve microarray spot segmentation drive adaptive image restoration,2,1,train
return asset pricing model portfolio selection thesis,4,9,train
meeting presentation software multiple crop production advanced life support system,0,4,train
evaluation composite panel load temperature,6,5,train
efficient algorithm architecture channel estimation detection,5,2,train
optimal sequencing hybridization,2,1,train
constructive theory refinement knowledge base neural network,3,3,train
social capital sustainable development,9,8,train
objective effect diversification large scale agricultural business result survey,0,4,train
optimal adaptation web process coordination constraint,9,8,train
semantic integration semi structure datum,4,9,train
prepare implication great natural gas generation prepare public power,7,7,train
feature summary critical review prospect future climate change reason early action,7,7,train
increase production landscape,0,4,train
build social capital,9,8,train
gasification base power generation production enhanced oil recovery,7,7,train
electromagnetic field cavity,8,6,train
mechanic boundary condition inhomogeneity,8,6,train
submit control distribute agent system,5,2,train
consideration recent advance molecular dynamic,6,5,train
abstract architecture flexible scheduling network,5,2,train
classification discriminative machine,3,3,train
transcriptional pathway feature reconstruct secondary effect,2,1,train
trend engine control simulation modelling,7,7,train
nuclear magnetic resonance quantum technology computation spectroscopy,8,6,train
crude oil natural gas natural gas liquid reserve annual report,7,7,train
principal author report order contribution,9,8,train
robust stability disturbance analysis class networked control system,5,2,train
status population determinant paper present,0,4,train
create competitive product,9,8,train
artificial evolution path artificial intelligence,5,2,train
simulation protein fold,2,1,train
compare genetic programming evolution strategy infer gene regulatory network,2,1,train
efficient variance model differential analysis gene expression datum,2,1,train
comparative analysis cluster method gene expression datum,2,1,train
uniqueness stability laminate microstructure martensitic crystal phase transformation,6,5,train
gas development natural cultural,7,7,train
modeling hybrid system,5,2,train
real time combustion estimation diesel engine test time vary filter,7,7,train
robust genetic network modeling add noisy datum,2,1,train
world make physics reality,8,6,train
investigation crack growth behavior high temperature,6,5,train
inspire algorithm discovery method robotic intelligence,3,3,train
material method text table reference,7,7,train
report optimal shape cell accelerate section,8,6,train
analysis gas mixture,7,7,train
work risk business cycle,4,9,train
field theory nuclear,8,6,train
carbon ecosystem northern century,0,4,train
reconstruction phylogenetic relationship metabolic pathway base enzyme hierarchy gene ontology,2,1,train
code generation fix point dsp,5,2,train
production case study restoration industry,7,7,train
similarity measure selection neighbor classification,2,1,train
lifetime growth low failure probability,6,5,train
stability microstructure martensitic transformation,6,5,train
symposium paper presentation poster,0,4,train
development application automatic learning power system control,5,2,train
gauge transformation topology computation gas automata,8,6,train
cooperative layered video distribute space time code,8,6,train
reduction defect content alloy,6,5,train
reconstruction metabolic pathway expression datum factor analysis,2,1,train
cluster base heterogeneous gene expression,2,1,train
evaluation monitor annual vegetation dynamic environment,0,4,train
multi interface level sensor development monitoring control oil,7,7,train
link event period,1,0,train
water quality change relate bulk,7,7,train
genomic analysis breast cancer,2,1,train
bridge microarray platform extend utility gene expression profile,2,1,train
bind molecular communication,8,6,train
phylogenetic model rate heterogeneity high performance computing perspective,2,1,train
context free context sensitive dynamic recurrent neural network,3,3,train
proceeding remote sense support crop yield forecast area estimate,0,4,train
group decision commerce application,9,8,train
consistency fuzzy preference relation,9,8,train
material selection multi attribute,6,5,train
difference public information speculative trading stock option,4,9,train
region interaction functional role behavioral cognitive review,3,3,train
intelligent datum drive simulation policy decision support,9,8,train
gain corporate paper traditional route income trust,4,9,train
platform base embed software design system integration autonomous vehicle,5,2,train
simultaneous regression variable selection supervise clustering,2,1,train
yield response change soil nutrient availability application fertilizer soil rice wheat system,0,4,train
risk management strategy bank,4,9,train
efficient practical distribute system,5,2,train
order nonlinear equation,6,5,train
cluster short time gene expression,2,1,train
efficient computation polymer,2,1,train
holocene climate infer oxygen isotope ratio lake sediment,1,0,train
fast recovery evolutionary tree thousand node,2,1,train
architecture unknown partially environment,5,2,train
role embed memory recurrent neural network architecture,3,3,train
decision make network health assessment intelligent intrusion detection system architecture,9,8,train
robot architecture integrated planning control,3,3,train
fold evidence rapid deposition deformation sequence,1,0,train
international journal user modeling user adapt interaction special issue user modeling intelligent agent system build intelligent agent learn retrieve extract information,3,3,train
distribute space time block code submit,8,6,train
efficient market hypothesis trading variable order markov,4,9,train
energy pattern production case study integrate farm limit,7,7,train
cluster gene expression datum locally adaptive metric,2,1,train
overview reservoir compute theory application implementation,3,3,train
nonlinear competition fire,8,6,train
paper maximum entropy method biological sequence modeling,2,1,train
embed control system development,5,2,train
recurrent neural network small weight implement memory machine,3,3,train
modular covariance statistic,8,6,train
water balance modelling effect limited irrigation yield water efficiency wheat,0,4,train
numerical study size rate effect mechanical,6,5,train
multiple design standard,6,5,train
efficient elastic detection datum stream,4,9,train
build block cellular diagram,2,1,train
estimation flexibility parameter weight evolve exchange rate regime,4,9,train
solar system recent advance nuclear,6,5,train
modeling optimization discontinuous network congestion control system,5,2,train
institutional trade persistence long term equity return,4,9,train
environment poverty input output approach,7,7,train
improved calibration framework electromagnetic tracking device,8,6,train
agricultural economic economic uncertainty application corn management,0,4,train
exchange rate monetary policy,4,9,train
maintain dynamic datum,4,9,train
low power soft multi standard video application,5,2,train
method analysis microarray gene expression abstract,2,1,train
publication petroleum status report,7,7,train
method analysis classical mechanic review application,8,6,train
adaptive multi scale basis sparse datum,2,1,train
size dependent relative,6,5,train
term structure model understanding jump interest rate,4,9,train
climate change great basin,7,7,train
complexity training time classification algorithm,3,3,train
scatter field theory,8,6,train
transfer neural network,3,3,train
maximum entropy method biological sequence modeling,2,1,train
parallel algorithm gene express datum,2,1,train
interaction work computational model,3,3,train
platform base embed software design multi vehicle system,5,2,train
wireless sensor actuator network design mobile control application,5,2,train
combine probabilistic interval uncertainty constraint inverse problem,7,7,train
agent base approach balance,5,2,train
sampling computation material science,6,5,train
quantum correlation algorithm physically,8,6,train
change impact road fuel economy accelerate engine,7,7,train
critical condition chemical wave propagation layer catalyst,6,5,train
model fluidized bed,7,7,train
eukaryotic promoter hide markov model,2,1,train
open system architecture software framework general motion control industrial robotic system,5,2,train
carbon material ion assist laser deposition,6,5,train
learn dynamic environment,3,3,train
title code standard summary,7,7,train
short energy price volatility forecast uncertainty,7,7,train
learning single layer neural network,3,3,train
central methodology article chemical reaction dna solid support application,6,5,train
application analysis evaluation neural network base,3,3,train
boost correlate neural network,3,3,train
decision support system internet,9,8,train
review part statistical approach,3,3,train
land management integrate model regional scale,0,4,train
high functional annotation gene product document cluster,2,1,train
challenge software evolution software perspective,5,2,train
logic base switch control nonholonomic system parametric modeling uncertainty,5,2,train
analysis fuel late bronze age early iron age copper mining site,1,0,train
multi task application detection,2,1,train
issue numerical solution evolutionary delay differential equation,8,6,train
synthesis robust control system resource constraint,5,2,train
derive increase net productivity,0,4,train
input output sequence processing,3,3,train
flat system equivalence trajectory generation,5,2,train
investigate network topology spatial simulation,9,8,train
ecosystem process nitrogen high southern,0,4,train
discriminative training language model classifier,2,1,train
decision make coordination graph,9,8,train
infrare technique real world sample,6,5,train
feature selection theory study genetic refinement knowledge base neural network,3,3,train
find interaction cognition base decision strategy,9,8,train
impact program transformation software reliability assessment,5,2,train
differential dynamic logic parametric hybrid system,5,2,train
communicate learn real world neural network spike drive dynamic,3,3,train
apply genetic programming evolve behavior primitive mobile robot,5,2,train
single factor model term structure,4,9,train
protein multiple sequence alignment,2,1,train
intelligent power electronic publication publication topological issue single phase power factor correction,5,2,train
digital library system,3,3,train
dimensional black hole,8,6,train
iterative state space reduction flexible computation,9,8,train
variation probabilistic tree statistical modeling prediction protein family,2,1,train
cluster analysis application gene expression datum,2,1,train
separate repeat sequence extend,2,1,train
regional climate model regional climate model projection state,0,4,train
sequence hybridization error handle long sequence,2,1,train
mixed mode integration real time simulation,7,7,train
predict influence material structure plane buckling plate,6,5,train
application theory condition monitoring application case study,7,7,train
mine top cover rule group gene expression datum,2,1,train
silica scale control condition,6,5,train
overview power generation,7,7,train
multi energy trading competition,9,8,train
empirical investigation function approximation reinforcement learning,3,3,train
efficient retrieval time sequence,4,9,train
simulation option pricing,4,9,train
mutual information method particle filter mobile sensor network control,8,6,train
forecast stock market return sum part,4,9,train
classification methodology gene expression datum,2,1,train
institutional framework financial market policy perspective,4,9,train
accept build physics microstructure thermal conductivity calcium silicate board material,6,5,train
learn mathematical model negotiation analysis learn approach teach mathematical model negotiation analysis correspond author,9,8,train
robust composite method address single multiple systematic variation,2,1,train
fault set theory,7,7,train
real life challenge access control management,5,2,train
issue corporate financing wave,4,9,train
financial market integration world economic stabilization power,4,9,train
distance base identification structure motif protein constrain frequent mining,2,1,train
low rank update point method,3,3,train
assess natural gas oil resource technical resource allocation economic analysis,7,7,train
state automata recurrent neural network,3,3,train
emission characteristic oil fuel compression ignition engine,7,7,train
sequence base study related protein behavior,2,1,train
proceeding remote sense support crop yield forecast area estimate sahai,0,4,train
advanced technology manufacturing large composite structure,6,5,train
base multiple testing microarray datum analysis,2,1,train
lecture black hole,8,6,train
estimate methane emission natural gas sector,7,7,train
numerical transport subsurface,0,4,train
activate carbon adsorption unit,7,7,train
design application specific instruction set processor machine description language,5,2,train
integrated mem conventional,6,5,train
comparative survey adaptive neural network algorithm independent component analysis,3,3,train
exact distribution space seed statistic dna homology detection,2,1,train
dna sequence optimization base continuous particle optimization reliable dna computing dna,2,1,train
imaging defect composite,6,5,train
mechanical stress analysis current method,6,5,train
identification interaction pattern,2,1,train
method infer population dynamic sequence,2,1,train
submit speech language processing acoustic modeling deep belief network,3,3,train
proceeding remote sense support crop yield forecast area estimate sahai,0,4,train
dynamic selection conflict rational account,9,8,train
analysis classification internal pipeline image,7,7,train
apply goal case business decision making,9,8,train
framework decision uncertainty,9,8,train
article assess function single model neural response,8,6,train
reduction time series base minimum distance,4,9,train
incorporate fuzzy inference database trigger,5,2,train
learn ground word syntax natural spoken language,1,0,train
transport transport introduction,6,5,train
update cost nuclear power,7,7,train
decision make model base marker hypothesis,9,8,train
feedback vegetation climate variability north american part statistical analysis,0,4,train
study black hole internet,8,6,train
role context decision make implication database design,9,8,train
preliminary investigation model variation human decision making,9,8,train
discover motif rank list motif rank list dna sequence,2,1,train
bridge link bond social capital collective action,9,8,train
reinforcement learn autonomous robot empirical investigation role,3,3,train
discharge sediment load experimental forest southern,0,4,train
neural network brain autonomous development,3,3,train
anti black hole,8,6,train
ground reference point locomotion biological trajectory control implication,5,2,train
educational foundation special service effectiveness technology statistic instruction high education analysis hierarchical linear modeling dissertation,9,8,train
growth associate select specie,0,4,train
protection discrete stream,4,9,train
connect scientific program datum object database,6,5,train
mixed factor model dimension reduction extraction group structure gene expression datum,2,1,train
control system loss,5,2,train
title identification testing total agent global environmental assessment,7,7,train
exploit spatial temporal heterogeneity agent base simulation behavior,9,8,train
efficient learning relational model sequential decision making,9,8,train
gauge transformation topology computation gas automata,8,6,train
structural plant model crop production,0,4,train
real time datum service,4,9,train
abstract mixed crop production system,0,4,train
stability model relativistic,8,6,train
abstract guide attention task architecture,3,3,train
story forecast international stock market return structural break theory induce restriction,4,9,train
hide markov model,8,6,train
parallel integer relation detection technique application,8,6,train
predict localization protein hybridization space,2,1,train
psychology press explain domain human cognition,7,7,train
impact service attack,8,6,train
model analyze dynamic access control system logic program abstract,5,2,train
abstract logic base algorithm control,5,2,train
optimal financial market integration security design,4,9,train
computation discrete extended,8,6,train
good good change managerial stock ownership great,4,9,train
reliable network embed system,9,8,train
storage maintenance regulation regulation,7,7,train
autonomous agent control system social cell accept poster presentation,5,2,train
effect industrial seed growth rate review,0,4,train
variational method relativistic quantum mechanic approach computation volume,8,6,train
trading frequency asset pricing evidence price impact ratio,4,9,train
automate search theorem social choice theory rank set object,9,8,train
effect surface deposit substrate,7,7,train
forecast stock market volatility,4,9,train
statistical mechanic nonlinear financial market application optimize trading,4,9,train
bottleneck estimation load control extend version,5,2,train
full credit include notice give source price impact survival trader,4,9,train
argumentation multi agent decision making,9,8,train
homogenization heat transfer resistance,6,5,train
dynamic decision make run head work memory dynamic decision make work memory load temporal dynamic decision making,9,8,train
black hole search ring,8,6,train
microstructure energy phase elastic composite space dimension microstructure,6,5,train
model check controllable system,5,2,train
incorporate behavior collaborative planning,9,8,train
iron base approach adaptive online mechanism design single domain,9,8,train
learn deep energy model,3,3,train
apply high scanning transmission electron microscopy,6,5,train
rule induction classification gene,2,1,train
social online social network site,9,8,train
joint classifier feature optimization cancer diagnosis gene expression datum,2,1,train
graph base method link analysis query,9,8,train
abstraction control system,5,2,train
diversity total seed protein,0,4,train
biology eukaryotic promoter prediction review,2,1,train
formation spatio temporal evolution periodic structure,6,5,train
learn fuzzy user preference variable objective,9,8,train
genomic analysis method information theory,2,1,train
method behavioral educational social computer software project,9,8,train
real time nonlinear individual,7,7,train
apply physics laser optic,7,7,train
behavior thin film composite mem,6,5,train
automate identification microstructure,6,5,train
study dense flow circulate fluidized bed,7,7,train
national assessment consequence climate variability change,0,4,train
lattice model activate transport zeolite high temperature molecular dynamic cooperative diffusion,6,5,train
active robotic sensing decision make statistical method,9,8,train
bind iteration approximate planning,9,8,train
lattice model microstructure quantitative approach,6,5,train
movement volatile organic plant monitor fourier transform infrare,7,7,train
transmission electron microscopy structure,6,5,train
return education testing model multiple market,9,8,train
charge compression ignition engine simulation study effect inhomogeneity,7,7,train
development form steel,6,5,train
cluster gene gene expression text literature datum,2,1,train
fast series search scale shift,4,9,train
theory foundation mechanic,8,6,train
artificial neural network,3,3,train
learn web review approach,3,3,train
global constraint atmospheric observation,7,7,train
compute word decision make foundation trend prospect,9,8,train
global crop growth monitoring system base remote sensing,0,4,train
integrated modeling analysis computer base embed control system,5,2,train
search base algorithm perceptron,3,3,train
hybrid neural system simple coupling fully integrate neural network,3,3,train
abstraction relation internal agent model collective decision making,9,8,train
single zone model engine fuel,7,7,train
find motif number strong bind site,2,1,train
exposure diesel gasoline engine emission risk cancer,7,7,train
field theory elliptic,8,6,train
crystal chemistry dense oxide mineral,6,5,train
cluster atomic layer deposit thin film part material,6,5,train
original paper sequence analysis alignment incorporate,2,1,train
sparse sequence model application computational biology intrusion detection,2,1,train
term structure model case transaction cost,4,9,train
control uncertainty control uncertainty review human behavior complex dynamic environment,9,8,train
economic impact crop production agriculture,0,4,train
finding medium learn environment high school,9,8,train
consideration plant corn damage field wheat,0,4,train
formation motivation trust,9,8,train
debt issue variation bond return,4,9,train
motion control system group,5,2,train
market integration international asset allocation,4,9,train
extract knowledge interpretation mine biological datum survey,2,1,train
advance cluster analysis datum,2,1,train
normal form datum warehouse design,9,8,train
part chapter sample asset base pattern,0,4,train
gasification canadian oil,7,7,train
scale behaviour aggregate network form particle,6,5,train
inflation hedge change risk bond,4,9,train
reason controllable variable,9,8,train
trading liquidity limited cognition,4,9,train
site selection base climate soil property,0,4,train
medical extend medical,9,8,train
structural plant model crop production add dimension,0,4,train
term structure estimation latent factor,4,9,train
learn gene expression network microarray datum,2,1,train
effect external finance internal capital market equilibrium allocation capital,4,9,train
dispersion crude oil petroleum product prepare,7,7,train
equation limit weak coupling critical field,8,6,train
computer science agent base modeling,9,8,train
architecture vision base behavior,5,2,train
location effect portfolio,4,9,train
survey real time system,5,2,train
adaptive trigger control network,5,2,train
algebraic graphical model decision uncertainty feasibility utility,9,8,train
protein sequence design problem model lattice,2,1,train
computation neural network step biologically model,3,3,train
analyze privacy requirement privacy goal,9,8,train
aggregate short interest market valuation,4,9,train
test critical medical high frequency current,6,5,train
control image processing provide run time autonomous robot,5,2,train
combine sequence time series datum learn transcriptional module,2,1,train
monitoring land grain crop production area temporal characteristic resolution satellite datum,0,4,train
network access pricing,7,7,train
autonomous dna device,2,1,train
research probability characteristic defect detection composite material wavelet transform,6,5,train
capital market financial integration financial integration activity evidence foreign bank emerge market,4,9,train
segment gene expression pattern early stage,2,1,train
large margin machine,3,3,train
energy induce polymer cancer diagnosis,6,5,train
include notice give source predictive content energy future update petroleum natural gas heating oil gasoline,7,7,train
flexible system simulation,4,9,train
effect molecular weight composite property,6,5,train
work loss heat treatment composite measure,6,5,train
waste recovery diesel engine,7,7,train
assess global water productivity irrigation area,0,4,train
nondestructive test system base image sequence processing,6,5,train
infrastructure institutional regulatory environment,0,4,train
transfer reinforcement learn markov logic network,9,8,train
document export market,0,4,train
discovery sample clustering gene expression datum,2,1,train
reproduce publish american copyright reserve management practice vary irrigation strategy simulation analysis,0,4,train
increase study solid dispersion,6,5,train
draft face agriculture challenge opportunity,0,4,train
detection fatigue crack probe,8,6,train
design artificial decision human base social simulation experience project submit,9,8,train
energy saving network parallel dsp,5,2,train
spatial price model petroleum product application case,7,7,train
bronze age iron age,1,0,train
interactive approach mine gene expression datum,2,1,train
controllable reduction mechanical system concept computational tool,5,2,train
financial openness productivity,4,9,train
study perspective approximate dispersion transmission,6,5,train
private bag volatility global fertilizer price,7,7,train
study performance emission characteristic pure diesel alternative fuel engine,7,7,train
system level specification multimedia application,5,2,train
high resolution integral development financial option,4,9,train
financial forecasting clustering neural network,3,3,train
model assessment comparison cross validation predictive density,3,3,train
topic neural network control,3,3,train
class nonlinear stochastic volatility model implication price currency option work paper,4,9,train
play networked control system evaluation design,5,2,train
early holocene atmospheric concentration,1,0,train
algorithm state invariant generate requirement specification,5,2,train
predictive compensation communication outage networked control system,5,2,train
optimization entropy neural network,3,3,train
practical computational method regulatory genomic gene regulatory network,2,1,train
statistic boost margin explanation effectiveness vote method,3,3,train
investigation gas phase composition carbon nanotube production,6,5,train
predictive representation sequential decision make uncertainty,9,8,train
time algorithm prime factorization discrete computer,8,6,train
ground motion estimate make system identification,0,4,train
global time jump process theory,8,6,train
incentive regulation provide incentive stochastic evidence electricity industry,7,7,train
cover number bound regularize linear function class,3,3,train
bioinformatic active site prediction evolutionary structural information,2,1,train
process operational quantum logic foundation physics,8,6,train
empirical learning natural language processing task,3,3,train
time gene expression profile algebraic hybrid automata reduction,2,1,train
automate learn reduce configuration feed forward neural network,3,3,train
uncertainty probabilistic reasoning general term,9,8,train
adaptive web agent learn retrieve extract information,3,3,train
real time robot learn locally weight statistical learning,5,2,train
resource estimate oil gas north geological survey,7,7,train
develop knowledge base crop forecasting system,0,4,train
connectionist basis grammatical,3,3,train
evolutionary neural network,3,3,train
model group decision meeting agent base approach,9,8,train
information bottleneck occurrence datum,2,1,train
sequential binary classification,7,7,train
network paradigm organizational research review,9,8,train
theory concept combination structure set property,8,6,train
limited asset market participation invert logic monetary policy,4,9,train
study interaction heavy crude oil solution,7,7,train
distribution medium provide original work human evolution body dna,1,0,train
potential coal methane resource,7,7,train
investigation basis light crude oil summary,7,7,train
evolution communication language signal symbol word,3,3,train
statistical thermodynamic kinetic dna hybridization reaction,8,6,train
composite material solid contact material,6,5,train
speculative trading stock price analysis chinese share,4,9,train
parallel transfer task knowledge dynamic learn rate base measure,3,3,train
hybrid decision tree,3,3,train
bisimulation relation dynamical control hybrid system,5,2,train
recover network model base approach,2,1,train
model agency decision make negotiation,9,8,train
monetary policy emerge market survey,4,9,train
find optimal gene network biological constraint,2,1,train
element metal partially early process,6,5,train
training mixture density,3,3,train
monetary transmission bank work paper,4,9,train
comparison bus architecture safety critical embed system,5,2,train
subset seed extension protein,2,1,train
reinforcement learn markovian task dependency,3,3,train
ring generation investigation move beam,6,5,train
boost margin explanation effectiveness vote method,3,3,train
application base stochastic gradient algorithm option pricing,4,9,train
form factor quantum equation motion model,8,6,train
source rise fall internet stock price,4,9,train
yield factor volatility model,4,9,train
bind state black hole brane,8,6,train
multiple data type,2,1,train
regularize negative correlation learn neural network ensemble,3,3,train
brane black hole large limit effective string description,8,6,train
intelligence application opportunity,9,8,train
regularization estimation feedforward neural network,3,3,train
probabilistic discovery cellular process regulation gene expression datum,2,1,train
variational belief network approximate inference,8,6,train
paradigm computational nucleic acid design,8,6,train
application laser ultrasonic study grain growth metal,6,5,train
agriculture output input income,0,4,train
learn class large finite state machine recurrent neural network,3,3,train
online damage detection composite structure base optical fibre strain sensing finite element model update,6,5,train
development dimensional map soil,0,4,train
couple structural magnetic strain model transducer,8,6,train
high efficiency emission power generation base high temperature cycle,7,7,train
investor economic consequence cross,4,9,train
trust base decision make electronic transaction,9,8,train
large oil gas sector,7,7,train
rapid aerospace structure,6,5,train
chemical structural study interface,6,5,train
simulation option pricing,4,9,train
hybrid output feedback stabilization dimensional linear control system,5,2,train
protein structure function bioinformatic evaluation local structure base,2,1,train
material implication social capital,9,8,train
model mercury control activate carbon paper,7,7,train
domain specific language real time embed system,5,2,train
analyze fracture pattern,1,0,train
inflation implication hypothesis term structure interest rate work paper,4,9,train
abstract crisis wide area security architecture,5,2,train
prospect future climate change reason early action summary critical review environmental management,7,7,train
compare net strategic game soft constraint,9,8,train
formal design distribute control system,5,2,train
expect stock return,4,9,train
oil price inspire memory,7,7,train
system approach develop technological,9,8,train
adaptive regularization neural network modeling,3,3,train
verification logic controller continuous plant time condition event system model,5,2,train
price formation liquidity short term fix income market,4,9,train
base optimization utility elicitation decision criterion,9,8,train
static stochastic ground hold problem aggregate demand,9,8,train
stre pattern regression algorithm application pattern discovery long,2,1,train
systematic detection statistically rule,2,1,train
numerical analytical study dynamic gaseous,8,6,train
linguistic decision analysis step solve decision problem linguistic information,9,8,train
natural gas transmission pipeline damage acoustic leak damage detection technique analysis transient flow model,7,7,train
crude oil production,7,7,train
temporal dynamic logic hybrid system invariant,5,2,train
stochastic model sequence evolution include event,2,1,train
bioinformatic component analysis base discriminant method classification gene expression datum,2,1,train
spectral grow water table depth,0,4,train
form discrete spacetime,8,6,train
transaction knowledge datum engineering multi neural network application functional genomic text categorization,3,3,train
advance access publication quantum program language overview,8,6,test
publishing modelling simulation material science engineering,6,5,test
optimization water extraction,7,7,test
effect internet social resource change,9,8,test
recurrent policy gradient,3,3,test
interface surface transition,8,6,test
automatic speech recognition datum,3,3,test
resource inequality poverty case gas,7,7,test
scheme similarity search short protein version,2,1,test
markov chain eukaryotic promoter recognition,2,1,test
development application nonlinear principal component analysis review,3,3,test
power system stability control reinforcement learning,5,2,test
simulation detailed chemistry flow,7,7,test
equity volatility credit yield spread,4,9,test
fast time sequence arbitrary,4,9,test
bayesian support vector regression unify loss function submit transaction neural network,3,3,test
paper author methane hydrate,7,7,test
robotic mobile robotic robot design design educational assessment,9,8,test
apply evolutionary computation design neural network study state art,3,3,test
model system internal state,3,3,test
method machine learning,3,3,test
complex control system design implementation software library,5,2,test
effect capital structure expect agency cost extreme,4,9,test
approach discover element,2,1,test
experiment stochastic computation high dimensional graphical model,2,1,test
origin year temperature,6,5,test
stock market development,4,9,test
publish thermal induce transition,6,5,test
agricultural household strategy prime age score match approach,0,4,test
chapter drive clustering datum,2,1,test
model study effect european yield curve,4,9,test
protein fold model,2,1,test
base decision make autonomous agent,9,8,test
modular neural network control orient modelling,3,3,test
segmentation image intensity inhomogeneity,8,6,test
plan develop lead organization pursuit energy saving environmental benefit electric natural gas energy efficiency,7,7,test
evolution improve neural network learn solution,3,3,test
statistical experimental design quantitative resolution transmission electron experimental design quantitative resolution transmission electron,6,5,test
investigate microstructure ultrasonic property relationship steel,6,5,test
construction requirement material,7,7,test
communicate purpose computation neural network survey complexity theoretic result,3,3,test
biological sequence compression algorithm,2,1,test
safety relevant mode model reduce,5,2,test
reasoning consistency testing,9,8,test
interactive exploration gene expression pattern,2,1,test
symposium paper presentation poster strategy address soil,0,4,test
visualize shape transformation,1,0,test
scatter theory body quantum system constant magnetic field,8,6,test
investigation identification fault small diesel engine acoustic emission,7,7,test
symbolic knowledge representation recurrent neural network insight theoretical model computation,3,3,test
base datum service system,9,8,test
market matter stock price investment equity dependent firm,4,9,test
autonomous robot robust adaptive dynamic motion,8,6,test
statistical learning base normal,3,3,test
good view skyline semantic approach base,9,8,test
probabilistic clustering gene,2,1,test
feedback assist stochastic gradient adaptation transmission,8,6,test
find optimal model small gene network,2,1,test
adaptive learning monetary policy open economy lesson,4,9,test
balance safety performance tradeoff internet security,5,2,test
linear programming optimize transfer improve specie,0,4,test
light generation conversion scatter silicon microstructure,6,5,test
implication complexity uncertainty integrate modelling impact assessment basin,0,4,test
embed memory recurrent neural network architecture learn long term temporal dependency,3,3,test
requirement capture evaluation case study,5,2,test
common risk factor currency market,4,9,test
application flash natural synthetic product,6,5,test
bayesian input variable selection probability expect utility,3,3,test
framework classification description datum model,9,8,test
method determination tensile property engineer composite,6,5,test
behavior mechanism state art,5,2,test
integrated design rapid development metal base alloy fossil energy application,6,5,test
performance consequence top management role organizational environmental,9,8,test
proceeding remote sense support crop yield forecast area estimate generalize software tool crop area estimate yield forecast,0,4,test
financial development stock return paper,4,9,test
classifier fusion classification expression profile,2,1,test
framework generalize sample data control system analysis good performance,5,2,test
adaptive wavelet method master equation,8,6,test
numerical design structured unitary space time,8,6,test
neural network base adaptive resonance theory function approximation,3,3,test
technology recover gold solution,6,5,test
notice give source estimate impact climate change crop yield importance nonlinear temperature effect,0,4,test
bridge theory exact inference probabilistic graphical model,8,6,test
financial openness productivity,4,9,test
bioinformatic weight quality estimate machine learning,3,3,test
study compare property gold discharge system medium,6,5,test
explore unknown graph locate black hole,8,6,test
dependent qualitative model decision make uncertainty,9,8,test
nonlinear pricing kernel preference cross section asset return,4,9,test
spatio temporal constraint role base access control,5,2,test
technology affect soil water content,0,4,test
stability switch system average dwell time,5,2,test
explore constructive cascade network,3,3,test
virtual combine tool iterative machine design,0,4,test
formal specification systematic evaluation,5,2,test
forecast realize volatility,4,9,test
tool efficient analysis control system,5,2,test
residential commercial institutional natural gas petroleum gas description,7,7,test
neural network evolutionary computation part hybrid approach artificial intelligence,3,3,test
combine framework development testing autonomous system,5,2,test
